Organisation;Number of project
7546;L'INSTITUT DES CORPS GRAS;1
7547;L'Orangerie Studio;1
7548;L'OREAL SA;2
7549;L'UNION EUROPEENNE DES ASSOCIATIONSDE JOURNALISTES SCIENTIFIQUES ASSOCIATION;2
7550;L'UREDERRA, FUNDACION PARA EL DESARROLLO TECNOLOGICO Y SOCIAL;2
7551;L-1 Identity Solutions AG;1
7552;L - UP SAS;3
7553;L.M. ERICSSON LIMITED;1
7554;L.P.E. SPA;2
7555;LA BANDE DESTINEE SARL;1
7556;LA CANTOCHE PRODUCTION SA;1
7557;LA COMETA DEL SUD;1
7558;LA CORO IMPIANTI SRL;1
7559;LA CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA CORPOICA;1
7560;LA PALMA RESEARCH CENTRE FOR FUTURE STUDIES SL;8
7561;LA SANFERMESE SpA;1
7562;LA SOCIETE WALLONNE DES EAUX;1
7563;LA&HA, AKADEMIJA ZA LASERJE IN ZDRAVJE;1
7564;LA. ME. P. DI CAMPOLUCCI ERINO & C.SOCIETA IN NOME COLLECTIVO;1
7565;Länsstyrelsen i Västra Götalands län;1
7566;LAB SERVICE ANALYTICA SRL;1
7567;LABAQUA SA;1
7568;LABELEC - ESTUDOS, DESENVOLVIMENTO E ACTIVIDADES LABORATORIALS SA;1
7569;LABINAL POWER SYSTEMS;3
7570;LABLICATE UG;1
7571;LABO MIXED REALITIES AS;1
7572;LABOGENA DNA;1
7573;LABORATOIRE NATIONAL DE METROLOGIE ET D'ESSAIS;2
7574;LABORATOIRE VIRTUEL EUROPEEN DANS LE DOMAINE DE L'INTEROPERABILITE DESENTREPRISES;2
7575;LABORATOIRES GRAND FONTAINE SL;1
7576;LABORATOIRES PHYTO TECHNIQUE SRL;1
7577;LABORATOIRES URGO;1
7578;LABORATORI ARCHA SRL;1
7579;LABORATORIJ ZA DRUSTVENE INOVACIJE;1
7580;LABORATORIO CIFGA SA;1
7581;LABORATORIO DE INSTRUMENTACAO E FISICA EXPERIMENTAL DE PARTICULAS;6
7582;LABORATORIO DI SCIENZE DELLA CITTADINANZA - LSC;4
7583;LABORATORIO DOCTOR LARRASA  S.L.;1
7584;LABORATORIO EUROPEO DI SPETTROSCOPIE NON LINEARI;3
7585;LABORATORIO IBERICO INTERNACIONAL DE NANOTECNOLOGIA;5
7586;Laboratorio Nacional de Energia e Geologia I.P.;7
7587;LABORATORIO NACIONAL DE ENGENHARIA CIVIL;9
7588;LABORATORIOS ALMIRALL S.A.;1
7589;LABORATORIOS ALPHA SAN IGNACIO PHARMA S.L. - ALPHASIP;3
7590;LABORATORIOS ENOSAN, S.L;1
7591;LABORATORIOS ORDESA SL;1
7592;LABORATORY IMAGING SPOL SRO;1
7593;LABRIDA AS;1
7594;LACE HOUSING LIMITED;1
7595;LADAR LIMITED;1
7596;LAFARGE CENTRE DE RECHERCHE SAS;2
7597;LAING O ROURKE PLC;1
7598;LAJOVIC TUBA EMBALAZA DOO;1
7599;LAKEHOUSE CONTRACTS LIMITED;1
7600;LAM RESEARCH AG;2
7601;LAM RESEARCH BELGIUM;3
7602;LAM RESEARCH SAS;1
7603;Lambdoop Solutions S.L.;1
7604;LAMBERPROM SL;1
7605;LAMINATE MEDICAL TECHNOLOGIES LTD;1
7606;LAMOR CORPORATION AB;1
7607;LAMPROU D  PETRELIS N GP;1
7608;LANCASTER EXPLORATION LIMITED;1
7609;LANCASTER UNIVERSITY;21
7610;LANCOR 2000 S COOP;1
7611;Land Kärnten;1
7612;LAND LIFE COMPANY BV;1
7613;Land Steiermark;1
7614;LANDBRUG & FODEVARER F.M.B.A.;1
7615;LANDESAMT FUER MESS- UND EICHWESEN RHEINLAND-PFALZ;1
7616;LANDESENERGIEVEREIN;1
7617;LANDESHAUPTSTADT HANNOVER;2
7618;LANDESHAUPTSTADT MUENCHEN;3
7619;LANDESHAUPTSTADT STUTTGART;1
7620;LANDESKAMMER FUER LAND UND FORTWIRTSCHAFT IN STEIERMARK;1
7621;LANDLAB SRL;1
7622;LANDSNET HF;1
7623;LANDSPITALI UNIVERSITY HOSPITAL;3
7624;LANDSVIRKJUN SAMEIGNARFELAG;1
7625;LANDWIRTSCHAFTSKAMMER NIEDERSACHSEN;3
7626;LANGE RESEARCH AIRCRAFT GMBH;2
7627;LANTBRUKARNAS EKONOMI-AB;1
7628;LANTMANNEN EKONOMISK FORENING;1
7629;LANZADERA DIGITAL SL;1
7630;LANZATECH UK LTD;1
7631;LANZHOU VETERINARY RESEARCH INSTITUTE;1
7632;LAPIN AMMATTIKORKEAKOULU OY;2
7633;LAPIN YLIOPISTO;2
7634;LAPPEENRANNAN TEKNILLINEN YLIOPISTO;9
7635;LARGOIKO S.L.L.;1
7636;LARIUS SRL;1
7637;LASER CONSULT MUSZAKI-TUDOMANYOS ES GAZDASAGI TANACSADO KORLATOLT FELELOSSEGU TARSASAG;1
7638;LASER ENGINEERING APPLICATIONS SA;1
7639;LASER OPTICAL ENGINEERING LIMITED;1
7640;LASER POINT SRL;1
7641;LASERLAM SRL;2
7642;LASERLINE GESELLSCHAFT FUR ENTWICKLUNG UND VERTRIEB VON DIODENLASERN GMBH;1
7643;LATERIZI GAMBETTOLA SRL;5
7644;LATVIAN STATE BORDER GUARD;1
7645;LATVIAN WOOD CONSTRUCTION CLUSTER;1
7646;LATVIJAS ILGTSPEJIGAS BUVNIECIBAS PADOME;1
7647;LATVIJAS INVESTICIJU UN ATTISTIBAS AGENTURA;1
7648;LATVIJAS JURAS AKADEMIJA;1
7649;LATVIJAS KULTURAS AKADEMIJA;1
7650;LATVIJAS LAUKU KONSULTACIJU UN IZGLITIBAS CENTRS;1
7651;LATVIJAS ORGANISKAS SINTEZES INSTITUTS;3
7652;LATVIJAS PREZIDENTURAS EIROPAS SAVIENIBAS PADOME SEKRETARIATS;1
7653;LATVIJAS TEHNOLOGISKAIS CENTRS NODIBINAJUMS;2
7654;LATVIJAS UNIVERSITATE;12
7655;LATVIJAS UNIVERSITATES AGENTURA LATVIJAS UNIVERSITATES BIOLOGIJAS INSTITUTS;1
7656;LATVIJAS UNIVERSITATES CIETVIELU FIZIKAS INSTITUTS;3
7657;LATVIJAS UNIVERSITATES MATEMATIKAS UN INFORMATIKAS INSTITUTS;1
7658;LATVIJAS UNIVERSITATES POLIMERU MEHANIKAS INSTITUTS;1
7659;LATVIJAS VALSTS KOKSNES KIMIJAS INSTITUTS;3
7660;LATVIJAS VALSTS MEZZINATNES INSTITUTS SILAVA;1
7661;LATVIJAS ZINATNU AKADEMIJA;4
7662;LAUREA-AMMATTIKORKEAKOULU OY;4
7663;LAURENTIA TECHNOLOGIES SLL;1
7664;LAURIN MARITIME AB;1
7665;LAVIOSA CHIMICA MINERARIA SPA;1
7666;LAVISION GMBH;2
7667;LAVOLA 1981 SA;1
7668;Law and Internet Foundation;2
7669;LAW TRUSTED THIRD PARTY SERVICES PTY LTD;1
7670;LAYERWISE;1
7671;LAZER SPORT NV;2
7672;LAZIO INNOVA - SOCIETA PER AZIONI;1
7673;LC PAPER 1881 SA;1
7674;LCP CONSULTING LIMITED;1
7675;LDI INNOVATION OU;1
7676;LE STUDIUM, AGENCE REGIONALE DE RECHERCHE ET D'ACCEUIL INTERNATIONAL DE CHERCHEURS ASSOCIES;1
7677;LEACH INTERNATIONAL EUROPE SA;1
7678;LEAD DISCOVERY CENTER GMBH;3
7679;LEADIN OY;1
7680;LEADING METAL MECHANIC SOLUTIONS SL;1
7681;LEAF SPACE S.R.L.;1
7682;LEAN ENTERPRISE INSTITUTE POLSKA SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSC IA;1
7683;LEANXCALE SL;1
7684;LEAP DEVELOPMENT BV;1
7685;LEAPIN DIGITAL KEYS LIMITED;1
7686;LEARN AND SMILE DIGITAL CREATIONS SL;1
7687;LECLANCHE GMBH;1
7688;LECLANCHE SA;1
7689;LECTRA BENELUX NV;1
7690;LEEDS TEST OBJECTS LIMITED;1
7691;LEENAARS ERNA HELENE PETRONELLE;1
7692;LEFKONITZIATIS DAIRY PRODUCTS LTD;1
7693;LEFKOSIA MUNICIPALITY;2
7694;LEGAMBIENTE ASSOCIAZIONE ONLUS;5
7695;LEGAMBIENTE LOMBARDIA ONLUS;1
7696;LEGORIZA S.R.L.;1
7697;LEIBNITZ-INSTITUT FUR NATURSTOFF-FORSCHUNG UND INFEKTIONSBIOLOGIE EV HANS-KNOLL-ISTITUT;2
7698;LEIBNIZ-INSTITUT DSMZ-DEUTSCHE SAMMLUNG VON MIKROORGANISMEN UND ZELLKULTUREN GMBH*;3
7699;LEIBNIZ-INSTITUT FUER FESTKOERPER- UND WERKSTOFFFORSCHUNG DRESDEN E.V.;3
7700;LEIBNIZ-INSTITUT FUER NEUE MATERIALIEN GEMEINNUETZIGE GMBH;5
7701;LEIBNIZ-INSTITUT FUER NEUROBIOLOGIE;1
7702;LEIBNIZ-INSTITUT FUER PHOTONISCHE TECHNOLOGIEN E.V.;3
7703;LEIBNIZ-INSTITUT FUR ALTERNSFORSCHUNG - FRITZ-LIPMANN-INSTITUT EV (FLI) LEIBNIZ INSTITUTE ON AGING - FRITZ LIPMANN INSTITUTE EV (FLI);1
7704;LEIBNIZ-INSTITUT FUR ASTROPHYSIK POTSDAM (AIP);1
7705;LEIBNIZ-INSTITUT FUR ATMOSPHARENPHYSIK EV AN DER UNIVERSITAT ROSTOCK;1
7706;LEIBNIZ-INSTITUT FUR DIE PADAGOGIKDER NATURWISSENSCHAFTEN UND MATHEMATIK AN DER UNIVERSITAT KIEL;1
7707;LEIBNIZ-INSTITUT FUR GEMUSE- UND ZIERPFLANZENBAU GROSSBEEREN/ERFURT EV;1
7708;LEIBNIZ-INSTITUT FUR OSTSEEFORSCHUNG WARNEMUNDE STIFTUNG;1
7709;LEIBNIZ-INSTITUT FUR PFLANZENBIOCHEMIE;1
7710;LEIBNIZ-INSTITUT FUR POLYMERFORSCHUNG DRESDEN EV;4
7711;LEIBNIZ-INSTITUT FUR RAUMBEZOGENE SOZIALFORSCHUNG (IRS) EV;1
7712;LEIBNIZ-ZENTRUM FUER AGRARLANDSCHAFTSFORSCHUNG (ZALF) e.V.;2
7713;LEIBNIZ - INSTITUT FUER PFLANZENGENETIK UND KULTURPFLANZENFORSCHUNG;3
7714;LEIBNIZ - INSTITUT FUR KATALYSE EV AN DER UNIVERSITAT ROSTOCK;3
7715;LEIBNIZ INSTITUT FUER AGRARENTWICKUNG IN MITTEL- UND OSTEUROPA;1
7716;LEIBNIZ INSTITUT FUER TROPOSPHAERENFORSCHUNG e.V.;3
7717;LEICESTER CITY COUNCIL;2
7718;LEIDOS BIOMEDICAL RESEARCH INC;1
7719;LEIPZIGER VERKEHRSBETRIEBE (LVB) GMBH;1
7720;LEISTER TECHNOLOGIES AG;1
7721;LEITNER TECHNOLOGIES SRO;1
7722;LEK FARMACEVTSKA DRUZBA DD;1
7723;LEMER PAX;1
7724;LENDULETBEN AZ AGRO-BIOTECH VALLALKOZAS-FEJLESZTESERT INNOVATIV NON-PROFIT ALAPITVANY;1
7725;LentiKat's a.s.;1
7726;LENZ INSTRUMENTS SL;2
7727;LENZE-LUIG 3-L-PLAN GBR;2
7728;LEONARDO - FINMECCANICA SPA;7
7729;LEROUX ET LOTZ TECHNOLOGIES;1
7730;LES ATELIERS DE ENTREPRENEURIAT HUMANISTE;1
7731;LES ATOMES CROCHUS;1
7732;LES HOPITAUX UNIVERSITAIRES DE GENEVE;1
7733;LESAFFRE INTERNATIONAL SARL;2
7734;LESS COMMON METALS LIMITED;1
7735;LETA;1
7736;LEUNAMME ENGINEERING S.L.U.;1
7737;LEUPHANA UNIVERSITAT LUNEBURG;1
7738;LEUVEN SECURITY EXCELLENCE CONSORTIUM L-SEC VZW;1
7739;LEVELCARDINAL UNIPESSOAL LDA;1
7740;LEVELK APS;1
7741;LEVER S.A.  DEVELOPMENT CONSULTANTS;1
7742;LEYCOLAN S.A.L.;1
7743;LFOUNDRY SRL;2
7744;LG DISPLAY GERMANY GMBH;1
7745;LGAI TECHNOLOGICAL CENTER SA;1
7746;LGI CONSULTING;6
7747;Lhasa Limited;1
7748;LHOIST RECHERCHE ET DEVELOPPEMENT SA;1
7749;LIAONING ACADEMY OF AGRICULTURAL SCIENCES;1
7750;LIBELIUM COMUNICACIONES DISTRIBUIDAS SOCIEDAD LIMITADA;1
7751;LIBERA UNIVERSITA DI BOLZANO;2
7752;LIBRA MLI LTD.;1
7753;LIBRALATO LTD;1
7754;LIBRE SOCIETA A RESPONSABILITA LIMITATA;1
7755;LIDER DOCTOR SL;1
7756;LIEBHERR-HYDRAULIKBAGGER GMBH;1
7757;LIECO GMBH CO KG;1
7758;LIETUVOS AGRARINIU IR MISKU MOKSLUCENTRAS;1
7759;LIETUVOS ENERGETIKOS INSTITUTAS;9
7760;LIETUVOS ISTORIJOS INSTITUTAS;2
7761;Lietuvos mokslo taryba;5
7762;LIETUVOS NACIONALINE VARTOTOJU FEDERACIJA ASOCIACIJA;1
7763;LIETUVOS RESPUBLIKOS ZEMES UKIO MINISTERIJA;1
7764;LIETUVOS SVEIKATOS MOKSLU UNIVERSITETAS;3
7765;LIEWENTHAL ELECTRONICS LTD;1
7766;LIFE AND BRAIN GMBH;2
7767;LIFE CYCLE ENGINEERING SRL;2
7768;LIFE LENGTH SL;1
7769;LIFECARE AS;1
7770;LIFEGATE SPA;1
7771;LIFEGLIMMER GMBH;1
7772;LIFESEQUENCING SL;1
7773;LIFETEC GROUP BV;4
7774;Liftshare.com Ltd;1
7775;LIGHT PRESCRIPTIONS INNOVATORS EUROPE SL;1
7776;LIGHTBEE SL;1
7777;LIGHTBOX, COMUNICACAO AUDIOVISUAL LDA;1
7778;LIGHTING DESIGN COLLECTIVE OY;1
7779;LIGHTMOTIF BV;1
7780;LIGHTPOINT MEDICAL LTD;1
7781;Lightsource Renewable Energy Holdings Limited;1
7782;LIGHTWARE VETITESTECHNIKAI KORLATOLT FELELOSSEGU TARSASAG;1
7783;LIIKENNEVIRASTO;1
7784;LIIKENTEEN TURVALLISUUSVIRASTO;1
7785;LIKUID NANOTEK SL;2
7786;LIMASSOL MUNICIPALITY;2
7787;LIMBACH STEFAN;1
7788;LIMBAK 4PI SL;1
7789;LIMERICK INSTITUTE OF TECHNOLOGY;2
7790;LIMITED LIABILITY COMPANY SALIX ENERGY;1
7791;LIMITED LIABILITY COMPANY STREAMOZONE;1
7792;LIMITSTATE LIMITED;1
7793;LIMOUSIN;2
7794;Linagora Grand Sud Ouest SA;1
7795;LINDBACKS BYGG AB;1
7796;LINDE AG;4
7797;LINDHURST ENGINEERING LIMITED;1
7798;LINEA GESTIONI SRL;1
7799;LINEV VLADIMIR;1
7800;LINGACOM LTD;1
7801;LINGEA SRO;1
7802;LINGUATEC GMBH;2
7803;LINGVIST TECHNOLOGIES OU;1
7804;LINKCARE HEALTH SERVICES SL;1
7805;LINKING ENVIRONMENT AND FARMING LBG;1
7806;LINKKER OY;1
7807;Linkko Partners Limited;1
7808;LINKNOVATE SCIENCE SL;1
7809;LINKOCARE LIFE SCIENCES AB;1
7810;LINKOPINGS UNIVERSITET;28
7811;Linkra S.R.L.;1
7812;LINNAEUS PLANT SCIENCE BV;1
7813;LINNEUNIVERSITETET;4
7814;LINZ CENTER OF MECHATRONICS GMBH;2
7815;LION SMART GMBH;1
7816;LIONBRIDGE OY;1
7817;LIONEX GMBH;1
7818;LIONIX BV;4
7819;LIOPA LTD;1
7820;LIPID PHARMACEUTICALS EHF;1
7821;LIPINUTRAGEN SRL;1
7822;LIPP GMBH;1
7823;LIQTECH AS;1
7824;LIQTECH INTERNATIONAL A/S;2
7825;LIQUID DEMOCRACY EV;1
7826;LIQUIFER SYSTEMS GROUP GMBH;3
7827;LISBOA E-NOVA AGENCIA MUNICIPAL DE ENERGIA E AMBIENTE DE LISBOA;1
7828;LISEC AUSTRIA GMBH;1
7829;LISODE SARL;1
7830;LITEHAUZ APS;1
7831;LITHOPS SRL;1
7832;Lithoz GmbH;3
7833;LIVEDRIVE LDA;1
7834;LIVERPOOL HOPE UNIVERSITY;1
7835;LIVERPOOL JOHN MOORES UNIVERSITY;6
7836;LIVERPOOL SCHOOL OF TROPICAL MEDICINE;1
7837;LIVING SURF SL;1
7838;LKR LEICHTMETALL KOMPETENZZENTRUM RANSHOFEN GMBH;1
7839;LLOYD'S REGISTER CONSULTING - ENERGY AB;1
7840;LLOYD'S REGISTER EMEA IPS;5
7841;LM VAN MOPPES AND SONS SA;1
7842;LMETAL SOSTENIBILITAT I FUTUR S COOP;1
7843;LOC8TOR LIMITED;1
7844;LOCALIDATA SL;1
7845;LOCALITY (UK) LBG;1
7846;LOCK & CHARGE S.R.L.;1
7847;LOEWE BIOCHEMICA GMBH;1
7848;LOFARMA S.P.A.;1
7849;LOGICDATA ELECTRONIC & SOFTWARE ENTWICKLUNGS GMBH;1
7850;LOGILAB;1
7851;LOGISTEMA  CONSULTORES DE LOGISTICA SA;1
7852;LOGOPLASTE INNOVATION LAB LDA;1
7853;LOHMANN TIERZUCHT GMBH;1
7854;LOIRETECH MAUVES;1
7855;LOJIKA BILGI TEKNOLOJILERI VE SERVISLERI TICARET AS;2
7856;LOKALNA AKCIJSKA GRUPA LAG 5;1
7857;LOKALNA ENERGETSKA AGENCIJA GORENJSKE JAVNI ZAVOD;1
7858;LOKALNA ENERGETSKA AGENCIJA ZA POMURJE ZAVOD ZA PROMOCIJO IN POSPEVANJE TRAJNOSTNEGA ENERGETSKEGA RAZVOJA MARTJANCI;2
7859;LOKALNA ENERGETSKA AGENTURA SPODNJE PODRAVJE ZAVOD ZA PROMOCIJO IN POSPESEVANJE TRAJNOSTNEGA ENERGETSKEGA RAZVOJA PTUJ;1
7860;LOMBARDIA INFORMATICA SPA;2
7861;LOMBRITEK ASSOCIATION;1
7862;LONDON BOROUGH OF BARKING AND DAGENHAM;1
7863;LONDON BOROUGH OF SOUTHWARK;1
7864;LONDON BOROUGH OF WALTHAM FOREST;1
7865;LONDON BUS SERVICES LIMITED;1
7866;LONDON BUSINESS SCHOOL;5
7867;LONDON CENTRE FOR MATHEMATICAL SCIENCES LBG;1
7868;London Economics Ltd;1
7869;LONDON NORTH WEST HEALTHCARE NATIONAL HEALTH SERVICE TRUST;1
7870;LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE;32
7871;LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE;11
7872;LONDON SOUTH BANK UNIVERSITY LBG;6
7873;Longline Environment Ltd;2
7874;LONTRA LIMITED;1
7875;LONZA AG;1
7876;LOOWATT LTD;1
7877;LOPHIUS BIOSCIENCES GMBH;1
7878;LOPTA FILM GMBH;1
7879;Loramendi S.Coop;1
7880;LORD ITALIA SRL;1
7881;LORD SUISSE SARL;1
7882;LORITUS INTERNATIONAL LIMITED;1
7883;LORTEK S COOP;4
7884;LOSER CHEMIE GMBH;1
7885;LOUGHBOROUGH UNIVERSITY;21
7886;LOUIS BERGER SPAIN SA;1
7887;LOUIS BOLK INSTITUUT;2
7888;LOVEMONK SL;1
7889;LOW CARBON VEHICLE PARTNERSHIP;1
7890;LPLUS GMBH;1
7891;LR IZGLITIBAS UN ZINATNES MINISTRIJA;1
7892;LS CONTROL AS;1
7893;LS INSTRUMENTS AG;1
7894;LSA-LASER ANALYTICAL SYSTEMS & AUTOMATION GMBH;2
7895;LSO MEDICAL;1
7896;LT-INNOVATE;1
7897;LT MULTIMEDIA SOCIETA' A RESPONSABILITA' LIMITATA;1
7898;LTG ELETTRONICA S.R.L.;1
7899;LUALDI SPA;1
7900;LUBELSKA FUNDACJA ROZWOJU;1
7901;LUCAS INSTRUMENTS GMBH;1
7902;LUCEDA;1
7903;LUCIAD NV;1
7904;LUCIDEON LIMITED;1
7905;Ludan Renewable Energy España S.L.;1
7906;LUDGER LTD;1
7907;Ludwig-Boelkow-Systemtechnik GmbH;2
7908;LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN;70
7909;LUDWIG BOLTZMANN GESELLSCHAFT GMBH;3
7910;LUDWIG BOLTZMANN GESELLSCHAFT OSTERREICHISCHE VEREINIGUNG ZUR FORDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG;5
7911;LUDWIG INSTITUT FUR KREBSFORSCHUNG AG;1
7912;LUDY GALVANOSYSTEME GMBH;1
7913;LUFTHANSA SYSTEMS AG;2
7914;LUFTHANSA SYSTEMS GMBH & CO KG;1
7915;LUFTTRANSPORT AS;1
7916;LUIS SIMOES LOGISTICA INTEGRADA SA;1
7917;LUISS LIBERA UNIVERSITA INTERNAZIONALE DEGLI STUDI SOCIALI GUIDO CARLI;2
7918;LUKA KOPER, PORT AND LOGISTIC SYSTEM, D.D.;1
7919;LUKOTON EXPERIENCE OY;1
7920;LULEA ENERGI AB;1
7921;LULEA TEKNISKA UNIVERSITET;17
7922;LUMEN RESEARCH LIMITED;1
7923;LUMICKS B.V.;1
7924;LUMO;1
7925;LUMYCOMP DESIGN LTD;1
7926;LUNA SAS;1
7927;LUNDS KOMMUN;1
7928;LUNDS UNIVERSITET;67
7929;LUNOVU GMBH;1
7930;LUNTARIUM SL;1
7931;LUONNONVARAKESKUS;14
7932;LUOSSAVAARA-KIIRUNAVAARA AB;1
7933;LUPHOS GMBH;1
7934;LUST HYBRID-TECHNIK GMBH;1
7935;LUVATA UK LIMITED;1
7936;LUWOGE consult GmbH;1
7937;LUXBRIGHT AB;1
7938;LUXCEL BIOSCIENCES LTD;1
7939;LUXCONTROL SA;1
7940;LUXEMBOURG INSTITUTE OF SCIENCE AND TECHNOLOGY;9
7941;LUXINNOVATION GIE;7
7942;LUXMOBILITY S.A.R.L.;2
7943;LUXOTTICA GROUP SPA;1
7944;LUXSPACE SARL;1
7945;LVIVSKYI NATIONALNYI MEDYCHNYI UNIVERSYTET IMENI DANYLA HALYTSKOHO;1
7946;LYCEE GENERAL ET TECHNOLOGIQUE CONDORCET;1
7947;LYKEION TON HELLINIDON;1
7948;LYNCEUS VISUAL TECHNOLOGIES UG HAFTUNGSBESHRANKT;1
7949;Lyngby-Taarbæk Kommune;1
7950;LYNGSO MARINE AS;1
7951;LYNKEUS;1
7952;LYON CONFLUENCE;1
7953;LYON INGENIERIE PROJETS;3
7954;LYON SMART DESIGN;1
7955;LYSE ENERGI AS;1
7956;LZH LASERZENTRUM HANNOVER E.V.;3
7957;LZN LASER ZENTRUM NORD GMBH;1
7958;M-4 GROEP BV;1
7959;M-SOLV LTD;4
7960;M-SQUARED LASERS LIMITED;2
7961;M SORA TRGOVINA IN PROIZVODNJA DD;1
7962;M T R S 3 SOLUTIONS AND SERVICES LTD;1
7963;M&C SAATCHI MADRID SL;1
7964;M.D.S. MEYER GMBH;1
7965;M.M.A. TECH LTD;1
7966;M.P.G. MANIFATTURA PLASTICA SPA;1
7967;M.T.M. SRL;2
7968;M2M CLOUD FACTORY SL;1
7969;M2P CONSULTING GMBH;1
7970;M2XPERT GMBH & CO KG;1
7971;M3 SYSTEMS BELGIUM SPRL;3
7972;M3 SYSTEMS SAS;1
7973;MAA JA ELINTARVIKETALOUDEN TUTKIMUSKESKUS;1
7974;MAAELUMINISTEERIUM;2
7975;MAANMITTAUSLAITOS;1
7976;Maastricht Instruments;1
7977;MAAT FRANCE SARL;3
7978;MACCABI HEALTHCARE SERVICES;1
7979;MACCHINE SPECIALI SRL;1
7980;MACEDONIAN ACADEMIC AND RESEARCH NETWORK SKOPJE;1
7981;MACH4 LAB SRL;1
7982;MACHBA - INTERUNIVERSITY COMPUTATION CENTER;3
7983;MACHINEFABRIEK BOLIER BV;1
7984;MACOMI BV;1
7985;MACPHIE OF GLENBERVIE LTD;1
7986;MACTAC EUROPE;1
7987;Made for Movement Group AS;1
7988;MADERA PLUS CALIDAD FORESTAL SL;1
7989;MADERAS BESTEIRO SL;1
7990;MADRID DESTINO CULTURA TURISMO Y NEGOCIO SA;1
7991;MADRID NETWORK ASOCIACION;1
7992;MADRID PLATAFORMA ICT AUDIOVISUAL;1
7993;MAELARDALENS HOEGSKOLA;4
7994;MAGEN DAVID ADOM IN ISRAEL;2
7995;MAGENTA SRL;1
7996;MAGGIOLI SPA;2
7997;MAGILLEM DESIGN SERVICES SAS;3
7998;MAGISTRAT DER STADT KASSEL;2
7999;MAGISTRAT DER STADT WIEN;3
8000;MAGIX SOFTWARE GMBH;1
8001;MAGNA STEYR BATTERY SYSTEMS GMBH & CO OG;3
8002;MAGNA STEYR ENGINEERING AG & CO KG;1
8003;MAGNAMEDICS DIAGNOSTICS BV;1
8004;MAGNETI LJUBLJANA PODJETJE ZA PROIZVODNJO MAGNETNIH MATERIALOV DD;2
8005;MAGNETI MARELLI S.P.A.;6
8006;MAGNETIC SYSTEMS TECHNOLOGY LIMITED;2
8007;MAGNETO SPECIAL ANODES BV;2
8008;MAGPIE POLYMERS SAS;1
8009;MAGUIN S.A.S;1
8010;MAGYAR BIOGAZ EGYESULET;1
8011;MAGYAR ELELMISZERBANK EGYESULET;2
8012;MAGYAR ENERGETIKAI ES KOZMU-SZABALYOZASI HIVATAL - MEKH;1
8013;MAGYAR FOLDTANI ES GEOFIZIKAI INTEZET;1
8014;Magyar Kereskedelem-fejlesztesi es Promocios Korlatolt Felelossegu Tarsasag;2
8015;MAGYAR TEJGAZDASAGI KISERLETI INTEZET KORLATOLT FELELOSSEGU TARSASAG;1
8016;MAGYAR TUDOMANYOS AKADEMIA AGRARTUDOMANYI KUTATOKOZPONT;1
8017;Magyar Tudomanyos Akademia Atommagkutato Intezete;2
8018;MAGYAR TUDOMANYOS AKADEMIA BOLCSESZETTUDOMANYI KUTATOKOZPONT;1
8019;MAGYAR TUDOMANYOS AKADEMIA CSILLAGASZATI ES FOLDTUDOMANYI KUTATOKOZPONT;1
8020;MAGYAR TUDOMANYOS AKADEMIA ENERGIATUDOMANYI KUTATOKOZPONT;7
8021;MAGYAR TUDOMANYOS AKADEMIA KOZGAZDASAG- ES REGIONALIS TUDOMANYI KUTATOKOZPONT;2
8022;MAGYAR TUDOMANYOS AKADEMIA OKOLOGIAI KUTATOKOZPONT;2
8023;MAGYAR TUDOMANYOS AKADEMIA RENYI ALFRED MATEMATIKAI KUTATOINTEZET;2
8024;MAGYAR TUDOMANYOS AKADEMIA SZAMITASTECHNIKAI ES AUTOMATIZALASI KUTATOINTEZET;9
8025;MAGYAR TUDOMANYOS AKADEMIA SZEGEDIBIOLOGIAI KUTATOKOZPONT;4
8026;MAGYAR TUDOMANYOS AKADEMIA TARSADALOMTUDOMANYI KUTATOKOZPONT;3
8027;MAGYAR TUDOMANYOS AKADEMIA TERMESZETTUDOMANYI KUTATOKOZPONT;3
8028;MAGYAR TUDOMANYOS AKADEMIA WIGNER FIZIKAI KUTATOKOZPONT;7
8029;MAGYARORSZAGI ZSIDO HITKOZSEGEK SZOVETSEGE TARSADALMI SZERVEZET;1
8030;MAHEI ENGINEERING SL;1
8031;MAIER SCOOP;5
8032;MAIER TECHNOLOGY CENTRE S COOP;1
8033;MAISON DE L'ENTREPRISE CENTRE EUROPEEN D'ENTREPRISE ET INNOVATION SA;1
8034;MAJANDUS JA KOMMUNIKATSIOONIMINISTEERIUM;2
8035;MAKEDONIKI VIOMIHANIA GALAKTOS ANONIMOS ETERIA (MEVGAL SA);1
8036;MAKERERE UNIVERSITY;5
8037;MAKI CONSULTING GMBH;1
8038;MALMO FOTBOLLFORENING;1
8039;MALMO STAD;1
8040;MALMOE HOEGSKOLA (MALMOE UNIVERSITY);4
8041;MALOPOLSKA VOIVODSHIP;1
8042;MALSCH NEELINA HERMINA;1
8043;MALTA AIR TRAFFIC SERVICES LIMITED;2
8044;MALTA BUSINESS FOUNDATION;1
